id,intervention,target_metric,direction,effect_min,effect_max,effect_unit,time_horizon,mechanism,ctx_climate_zone,ctx_rainfall_min,ctx_rainfall_max,ctx_soil_texture,ctx_system,critical_dimensions,evidence_strength,source_id,page,quote,verified
C01,residue_retention,moisture_percent,increase,,,,short,"Surface crop residue shades the soil and slows runoff, reducing evaporation losses and increasing infiltration so more rainfall is stored in the root zone.",semi_arid|sub_humid,400,1100,,rainfed,climate_zone,multi_site,srinivasarao_2013,,,false
C02,residue_retention,soc_percent,increase,,,,medium,Returning residue adds a recurring carbon input to the soil; in drylands the size of this input is limited by how much biomass low rainfall allows the crop to produce.,semi_arid,500,1000,,rainfed,rainfall,multi_site,srinivasarao_2013,,,false
C03,residue_retention,ndvi_proxy,increase,,,,medium,Improved stored soil water and nutrient cycling under residue cover support more crop canopy growth in water-limited seasons.,semi_arid,400,1000,,rainfed,,multi_site,srinivasarao_2013,,,false
C04,residue_retention,soc_percent,increase,,,,medium,"Residue retention maintains organic inputs and protects soil aggregates from raindrop impact and erosion, slowing carbon loss.",,,,,,,multi_site,turmel_2015,,,false
C05,mulching,moisture_percent,increase,,,,short,"A mulch layer reduces soil surface evaporation and moderates soil temperature, increasing soil water retention.",humid,900,1100,loamy,,,single_site,mulumba_lal_2008,,,false
C06,mulching,moisture_percent,increase,,,,short,Organic or residue mulch conserves soil moisture in rainfed dryland fields by cutting evaporation between erratic rainfall events.,semi_arid,350,1000,,rainfed,climate_zone,multi_site,srinivasarao_2013,,,false
C07,in_situ_moisture_conservation,moisture_percent,increase,,,,short,"Contour bunds and conservation furrows slow overland flow and lengthen infiltration opportunity time, so a larger share of rainfall enters the soil profile.",semi_arid,400,900,,rainfed,climate_zone,multi_site,srinivasarao_2013,,,false
C08,in_situ_moisture_conservation,ndvi_proxy,increase,,,,medium,Additional stored soil water from in-situ conservation extends the period of active crop growth during dry spells.,semi_arid,400,900,,rainfed,climate_zone,multi_site,srinivasarao_2013,,,false
C09,in_situ_moisture_conservation,soc_percent,increase,,,,long,"Reducing runoff also reduces erosion of carbon-rich topsoil, protecting existing soil organic carbon stocks.",semi_arid,400,1000,,rainfed,,multi_site,srinivasarao_2013,,,false
C10,broad_bed_furrow,moisture_percent,increase,,,,short,"On Vertisols, broad beds with furrows drain excess water during intense rain and improve infiltration and storage between events, which only works on swelling clay soils.",semi_arid,,,vertisol,rainfed,soil_texture,single_site,wani_2003,,,false
C11,broad_bed_furrow,soc_percent,increase,,,,long,Improved Vertisol management with higher crop biomass production increased soil carbon over long-term trials in the semi-arid tropics.,semi_arid,,,vertisol,rainfed,soil_texture,single_site,wani_2003,,,false
C12,farmyard_manure,soc_percent,increase,,,,medium,"Organic amendments add stabilised carbon directly and stimulate soil biological activity, raising organic carbon in low-carbon dryland soils.",semi_arid,,,,rainfed,,multi_site,srinivasarao_2013,,,false
C13,farmyard_manure,moisture_percent,increase,,,,medium,"Raising soil organic matter increases aggregation and available water capacity, especially in coarse-textured soils.",,,,,,,multi_site,lal_2004,,,false
C14,cover_cropping,soc_percent,increase,0.24,0.40,Mg C ha-1 yr-1,medium,"Cover crops add root and shoot carbon inputs during otherwise fallow periods; the effect depends on cover-crop biomass production, which requires adequate off-season water.",sub_humid|humid|temperate,600,1500,,rainfed|irrigated,rainfall,meta_analysis,poeplau_don_2015,,,false
C15,cover_cropping,moisture_percent,decrease,,,,short,"In water-limited environments cover crops transpire stored soil water, which can leave less water for the following main crop.",semi_arid|sub_humid,300,900,,rainfed,rainfall,multi_site,unger_vigil_1998,,,false
C16,crop_diversification,species_richness_index,increase,,,,medium,"More crop species in rotations or intercrops create more varied resources and microhabitats, increasing associated farmland biodiversity on average, though with high variability.",,,,,,,meta_analysis,beillouin_2021,,,false
