variable,climate_zone,texture_class,poor,good,enum_scores,source_id,note
soc_percent,*,*,0.2,0.75,,soil_health_card_2015,"Soil Health Card ratings: organic carbon below 0.5% low, above 0.75% high. The 0.2% floor for zero suitability is a modelling choice; no universal critical SOC threshold exists (see loveland_webb_2003)."
ph,*,*,5.0,6.5,,soil_health_card_2015,"Soil Health Card treats pH 6.5-7.5 as normal. The 5.0 floor for zero suitability is a modelling choice."
ph:upper,*,*,9.0,7.5,,soil_health_card_2015,"Upper side of the normal pH band (7.5); the 9.0 ceiling for zero suitability is a modelling choice."
moisture_percent,*,sandy,5,12,,fao56_1998,"Volumetric soil water between typical wilting point and field capacity ranges for sand (FAO-56 soil water table)."
moisture_percent,*,loamy,12,25,,fao56_1998,"Volumetric soil water between typical wilting point and field capacity ranges for loam (FAO-56 soil water table)."
moisture_percent,*,clayey,22,35,,fao56_1998,"Volumetric soil water between typical wilting point and field capacity ranges for clay (FAO-56 soil water table)."
moisture_percent,*,vertisol,22,35,,fao56_1998,"Vertisols treated as clay for water-holding ranges (FAO-56 soil water table)."
moisture_percent,*,*,12,25,,fao56_1998,"Fallback when texture is unknown: loam ranges."
annual_rainfall_mm,*,*,350,900,,modelling_choice,"Anchored to the NBSS&LUP semi-arid band (500-1000 mm); below about 350 mm rainfed cropping is marginal."
mean_temp_c,*,*,34,26,,modelling_choice,"Higher mean temperature treated as worse (raises evaporative demand). Weakly grounded; low-weight pathway only."
species_richness_index,*,*,5,25,,modelling_choice,"Species count per standardised field survey; cut-offs are a modelling choice for relative scoring."
habitat_diversity_index,*,*,0.1,0.6,,modelling_choice,"0-1 index of semi-natural habitat heterogeneity; anchored loosely to landscape-complexity findings in tscharntke_2005."
ndvi_proxy,*,*,0.15,0.5,,modelling_choice,"Growing-season cropland NDVI range; relative scoring only."
texture_class,*,*,,,loamy:1.0|clayey:0.8|vertisol:0.7|sandy:0.4,fao56_1998,"Scored by water-holding capacity."
rainfall_pattern,*,*,,,normal:1.0|low:0.4|erratic:0.3,ipcc_srccl_2019,"Scores are a modelling choice ordering patterns by drought exposure."
drought_frequency,*,*,,,low:1.0|moderate:0.5|high:0.15,ipcc_srccl_2019,"Scores are a modelling choice."
land_use_class,*,*,,,agroforestry:1.0|grassland:0.9|mixed_cropping:0.7|fallow:0.6|monoculture:0.2,tscharntke_2005,"Ordered by habitat heterogeneity; numeric scores are a modelling choice."
cropping_intensity,*,*,,,single:0.8|double:0.6|continuous:0.3,lal_2004,"Ordered by organic matter depletion risk; scores are a modelling choice."
field_margin_present,*,*,,,true:1.0|false:0.3,marshall_moonen_2002,"Presence of uncropped margin habitat."
pollinator_observed,*,*,,,none:0.0|low:0.3|moderate:0.7|high:1.0,ipbes_2016,"Ordinal pollinator activity; scores are a modelling choice."
fertilizer_intensity,*,*,,,low:0.9|moderate:0.7|high:0.3,kleijn_2009,"Scored for biodiversity pressure, not crop nutrition."
pesticide_intensity,*,*,,,low:1.0|moderate:0.5|high:0.15,geiger_2010,"Scores are a modelling choice ordering by pressure."
grazing_pressure,*,*,,,none:0.9|low:1.0|moderate:0.6|high:0.2,eldridge_2016,"Light grazing scored highest; scores are a modelling choice."
fragmentation_level,*,*,,,low:1.0|moderate:0.5|high:0.2,haddad_2015,"Scores are a modelling choice ordering by isolation."
